simulationId,slug,class,gradeBand,chapter,topic,activityNumber,activityTitle,subject,primaryArchetype,secondaryArchetypes,simulationFormat,xrFitType,comfortRiskLevel,expectedDurationMinutes,packageSizeTargetMb,reuseGroup,implementationNotes
sim-c05-ch01-a01-supersense-of-smell,c5-ch01-a01-supersense-of-smell,5,class3To5,1,Super Senses,1,Supersense of smell,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:super-senses,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch01-a02-supersense-of-sights,c5-ch01-a02-supersense-of-sights,5,class3To5,1,Super Senses,2,Supersense of sights,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:super-senses,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch01-a03-super-sense-of-danger,c5-ch01-a03-super-sense-of-danger,5,class3To5,1,Super Senses,3,Super Sense of danger,environmentalScience,scenario,,guidedVisualization,strongVrFit,low,8,120,environmentalScience:super-senses,"Use decision scenario with safe choices, consequence preview, and debrief focused on reasoning rather than score."
sim-c05-ch01-a04-supersense-of-hearing,c5-ch01-a04-supersense-of-hearing,5,class3To5,1,Super Senses,4,Supersense of hearing,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:super-senses,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch02-a01-snakes-and-their-types,c5-ch02-a01-snakes-and-their-types,5,class3To5,2,A Snake Charmer's Story,1,Snakes and their types,environmentalScience,sortingBoard,,interactive3d,strongVrFit,low,7,84,environmentalScience:a-snake-charmer-s-story,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c05-ch03-a01-a-sense-of-taste,c5-ch03-a01-a-sense-of-taste,5,class3To5,3,From Tasting to Digesting,1,A Sense of Taste,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:from-tasting-to-digesting,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch03-a02-introduction-of-digestive-system,c5-ch03-a02-introduction-of-digestive-system,5,class3To5,3,From Tasting to Digesting,2,Introduction of Digestive system,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:from-tasting-to-digesting,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch04-a01-food-spoilage,c5-ch04-a01-food-spoilage,5,class3To5,4,Mangoes Round the Year,1,Food spoilage,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:mangoes-round-the-year,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch04-a02-milk-spoilage,c5-ch04-a02-milk-spoilage,5,class3To5,4,Mangoes Round the Year,2,Milk spoilage,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:mangoes-round-the-year,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch04-a03-the-making-of-aam-papad,c5-ch04-a03-the-making-of-aam-papad,5,class3To5,4,Mangoes Round the Year,3,The making of Aam papad,environmentalScience,modelInspection,processTimeline,interactive3d,strongVrFit,low,8,150,environmentalScience:mangoes-round-the-year,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch05-a01-pitcher-plant-the-insect-hunter,c5-ch05-a01-pitcher-plant-the-insect-hunter,5,class3To5,5,Seeds and Seeds,1,Pitcher plant- The insect hunter,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,low,9,225,environmentalScience:seeds-and-seeds,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c05-ch05-a02-seed-dispersal,c5-ch05-a02-seed-dispersal,5,class3To5,5,Seeds and Seeds,2,Seed dispersal,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:seeds-and-seeds,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch06-a01-the-storage-of-rainwater,c5-ch06-a01-the-storage-of-rainwater,5,class3To5,6,Every Drop Counts,1,The storage of rainwater,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:every-drop-counts,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch06-a02-a-step-well-structure,c5-ch06-a02-a-step-well-structure,5,class3To5,6,Every Drop Counts,2,A step well structure,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:every-drop-counts,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch07-a01-a-concept-about-what-floats-what-sinks,c5-ch07-a01-a-concept-about-what-floats-what-sinks,5,class3To5,7,Experiments with Water,1,"A concept about- What floats, what sinks?",environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:experiments-with-water,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch07-a02-dead-sea-salt-water-and-its-effects,c5-ch07-a02-dead-sea-salt-water-and-its-effects,5,class3To5,7,Experiments with Water,2,Dead sea : Salt water and its effects,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:experiments-with-water,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch07-a03-soluble-and-insoluble-substances,c5-ch07-a03-soluble-and-insoluble-substances,5,class3To5,7,Experiments with Water,3,Soluble and Insoluble substances,environmentalScience,experimentBench,,practicalLabSimulation,strongVrFit,low,8,135,environmentalScience:experiments-with-water,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
sim-c05-ch08-a01-diagnosis-of-malaria,c5-ch08-a01-diagnosis-of-malaria,5,class3To5,8,A Treat for Mosquitoes,1,Diagnosis of malaria,environmentalScience,scenario,,guidedVisualization,strongVrFit,low,8,120,environmentalScience:a-treat-for-mosquitoes,"Use decision scenario with safe choices, consequence preview, and debrief focused on reasoning rather than score."
sim-c05-ch08-a02-life-cycle-of-the-mosquito,c5-ch08-a02-life-cycle-of-the-mosquito,5,class3To5,8,A Treat for Mosquitoes,2,Life cycle of the mosquito,environmentalScience,processTimeline,,guidedVisualization,strongVrFit,low,8,126,environmentalScience:a-treat-for-mosquitoes,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c05-ch09-a01-river-crossing-adventure,c5-ch09-a01-river-crossing-adventure,5,class3To5,9,Up You Go !,1,River crossing Adventure,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,8,150,environmentalScience:up-you-go,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch09-a02-rock-climbing,c5-ch09-a02-rock-climbing,5,class3To5,9,Up You Go !,2,Rock Climbing,environmentalScience,modelInspection,,interactive3d,strongVrFit,medium,8,150,environmentalScience:up-you-go,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c05-ch09-a03-camp-in-the-snow,c5-ch09-a03-camp-in-the-snow,5,class3To5,9,Up You Go !,3,Camp in the snow,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,medium,9,225,environmentalScience:up-you-go,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c05-ch09-a04-snow-mountain-climbing,c5-ch09-a04-snow-mountain-climbing,5,class3To5,9,Up You Go !,4,Snow mountain climbing,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,medium,9,225,environmentalScience:up-you-go,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c05-ch10-a01-a-visit-of-ancient-fort,c5-ch10-a01-a-visit-of-ancient-fort,5,class3To5,10,Walls Tell Stories,1,A Visit of Ancient Fort,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,low,9,225,environmentalScience:walls-tell-stories,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
